zincid,smiles
ZINC001242890172,C=C(c1ccccc1)c1cc(N)ccn1
ZINC000301627464,Cc1ccnc(NCCOc2cccc(F)c2)c1
ZINC000225502004,c1ccc([C@@H]2CN[C@H]3CCC[C@@H]23)cc1
ZINC000926731099,C[C@H](N[C@H]1C[C@H](O)C1)c1coc2ccccc21
ZINC000883238817,C1=C[C@H](CNCc2ccc3nc[nH]c3c2)CC1
ZINC000043561493,Cc1ccnc(NC[C@@H]2Cc3ccccc32)c1
ZINC000051955264,C[C@]1(c2cccc(C(F)(F)F)c2)CCNC1
ZINC000069841447,Nc1ncccc1Cc1cccc(F)c1
ZINC000070141158,Cc1ccc(CNCc2ccnn2C)cc1C
ZINC000093063788,Cc1ccnc(NCc2nc3c(s2)CCC3)c1
ZINC000149781774,c1ccc([C@@H]2C[C@H]2N[C@H]2CCSC2)cc1
ZINC000386111627,c1cc2cccc(CNCC3CC3)c2s1
ZINC000721196064,Cc1ccc(-c2cccnc2N)c(F)c1
ZINC000925721190,COc1ccnc([C@H](C)Nc2cc(C)ccn2)c1
ZINC001173879087,c1ccc2c(c1)cncc2N=c1cc[nH]cc1
ZINC001174514167,Cn1ccc2ccc(Nc3nccn3C)cc21
ZINC001240651438,N#Cc1ccnc(C2=CCCNC2)c1F
ZINC001240659121,c1ncn2cc(C3=CCCNC3)ccc12
ZINC001240663928,Cc1cc2[nH]ccc2c(C2=CCCNC2)c1
ZINC001240664622,c1cc(C2=CCCNC2)cc2c1CC2
ZINC001243110327,Cn1cnc2c1cccc2C1=CCNC1
