zincid,smiles,consensus_score,docking_score,boltz_prob,is_active
ZINC000036993728,CCC[C@H](C)N[C@@H](C)Cc1ccco1,0.6269394,-6.344,0.6982721,0
ZINC000042198634,O=C(C[C@H]1CCCO1)Nc1ccc(F)cc1F,0.4950357,-8.347,0.22874512,0
ZINC000078597262,COC(=O)[C@@H](C)CN(C)C(=O)c1csnn1,0.32803568,-6.082,0.13340922,0
ZINC000224174531,CC[C@@H]1CCC[C@@H](NCC2(C)CC2)C1,0.55797726,-7.122,0.48078114,0
ZINC000359915507,CCC[C@H]1C[C@H]1c1nc(CC(=O)NC)no1,0.39073983,-7.072,0.15469716,0
ZINC000457606164,CC[C@H](CC(F)F)C(=O)N(C)Cc1ccc[nH]1,0.36809602,-6.676,0.15101112,0
ZINC000646793441,C=C[C@@H](O)C(=O)Nc1cccc(COCC)c1,0.47451335,-7.381,0.28852034,0
ZINC000667788900,CC(C)NC(=O)Nc1cnc2c(c1)CNCC2,0.52598226,-7.281,0.40087187,0
ZINC000675058215,CCc1onc(-c2nccn2C)c1C(=O)O,0.39288408,-6.879,0.17900953,0
ZINC000762044659,CC1(C)C[C@@H](NC(=O)CCC2CCC2)C(=O)O1,0.42442605,-7.659,0.16040026,0
ZINC000778423100,C[C@H](NC(=O)[C@H]1CCC=CO1)c1nc[nH]n1,0.46881142,-7.428,0.2723391,0
ZINC000828415495,O=C(NCC1CCC(F)CC1)N1CCCO1,0.38029653,-7.63,0.075998634,0
ZINC000858625598,Nc1nc(N)nc(N[C@H]2C=CCC2)n1,0.44962737,-6.695,0.31054202,0
ZINC000864413133,O=C(Nc1cccnc1)C1(F)CCOCC1,0.3521257,-7.115,0.07373564,0
ZINC000864628500,C=CCCn1cc([C@H]2CCOC2)nn1,0.34313375,-6.794,0.08929552,0
ZINC000894042276,C[C@H](NC(=O)[C@H]1C[C@]12CCOC2)C(F)F,0.35606226,-7.278,0.06458766,0
ZINC000907388274,CN1CC[C@@](O)(CNC(=O)[C@@H]2C[C@@H]2C(N)=O)C1,0.36926696,-6.911,0.12889937,0
ZINC000923774309,C[C@]1(O)CCN(C(=O)NCC#CCO)C1,0.3528272,-7.148,0.07169448,0
ZINC001175842075,CCc1ncsc1Nc1cncc(C(=O)O)c1,0.4302456,-7.38,0.20093392,0
ZINC001206527797,CC(=O)c1ccncc1Nc1ccnc(N)c1,0.53500754,-7.483,0.39774966,0
ZINC001240233229,CCc1ccnc(-c2cncc(F)c2)n1,0.4901122,-7.786,0.27731523,0
ZINC001242890172,C=C(c1ccccc1)c1cc(N)ccn1,0.54825586,-8.466,0.32179785,1
ZINC001249993688,CN(c1cc(N)ccn1)c1c(O)cccc1F,0.47669742,-7.845,0.24460799,0
ZINC000000112939,CN(CCNC(=N)N)c1ccccc1,0.6542748,-6.441,0.74233663,0
ZINC000036533004,Fc1ccc(Br)cc1S,0.44495684,-5.519,0.42355055,0
ZINC000037461284,COCCNC(=O)[C@H]1C[C@@H]1C(=O)O,0.31098038,-5.704,0.13892215,0
ZINC000082298752,Cc1ncncc1C(=O)NC(C)C,0.5634416,-6.119,0.5958803,0
ZINC000082460986,CN(Cc1cccs1)c1cccc(Cl)n1,0.48928374,-7.145,0.34231442,0
ZINC000104220204,CN(CC(=O)O)C(=O)c1ccc2c(c1)COC2,0.4142092,-7.886,0.11656201,0
ZINC000115098701,O=c1[nH]cccc1-c1ccc(C(F)(F)F)nc1,0.44325542,-8.324,0.12856424,0
